,citing author name,citing paper title,cited paper title,affiliated institution,latitude,longitude,county,city,state,country
41,Yinan He,Vbench: Comprehensive benchmark suite for video generative models,UGC-VQA: Benchmarking blind video quality assessment for user generated content,Shanghai Al Laboratory,31.0847216,121.24852026398574,,Songjiang District,Shanghai,China
42,Joshua Peter Ebenezer,Subjective assessment of high dynamic range videos under different ambient conditions,BBAND Index: a No-Reference Banding Artifact Predictor,Samsung Research America,37.401170449999995,-122.04747512604908,Santa Clara County,Mountain View,California,United States
43,Peyman Milanfar,Maxvit: Multi-axis vision transformer,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,Google,33.977092,-118.4092133,Los Angeles County,Los Angeles,California,United States
44,Jie Zhou,Hornet: Efficient high-order spatial interactions with recursive gated convolutions,MAXIM: Multi-Axis MLP for Image Processing,Tsinghua University,40.002290450000004,116.3209629696906,,Haidian District,Beijing,China
45,Zicheng Zhang,BH-VQA: Blind High Frame Rate Video Quality Assessment,FAVER: Blind Quality Prediction of Variable Frame Rate Videos,Shanghai Jiaotong University,31.2143785,121.4680316,,Shanghai,Shanghai,China
46,Guangtao Zhai,Blindly assess quality of in-the-wild videos via quality-aware pre-training and motion perception,Regression or classification? new methods to evaluate no-reference picture and video quality models,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
47,Soo Ye Kim,Modernizing old photos using multiple references via photorealistic style transfer,Pik-Fix: Restoring and Colorizing Old Photos,Adobe Research,47.5549905,7.5899398,,Basel,Basel-City,Switzerland
48,Zhengzhong Tu,UGC-VQA: Benchmarking blind video quality assessment for user generated content,BBAND Index: a No-Reference Banding Artifact Predictor,Austin,30.2711286,-97.7436995,Travis County,Austin,Texas,United States
49,Liangqi Yuan,Federated learning for connected and automated vehicles: A survey of existing approaches and challenges,V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,Purdue University,40.430028,-86.92642114650494,Tippecanoe County,West Lafayette,Indiana,United States
50,Jinjin GU,Dual aggregation transformer for image super-resolution,MaxViT: Multi-axis Vision Transformer,The University of Sydney,-33.88890725,151.18941110261173,,Sydney,New South Wales,Australia
51,Xu Cao,A survey on multimodal large language models for autonomous driving,V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,UIUC,40.076154450000004,-88.22331340640494,Champaign County,Urbana,Illinois,United States
52,Yu Qiao,Activating more pixels in image super-resolution transformer,MAXIM: Multi-Axis MLP for Image Processing,CAS,5.5000085,-71.5000086,,,Casanare,Colombia
53,Agus Gunawan,Modernizing old photos using multiple references via photorealistic style transfer,Pik-Fix: Restoring and Colorizing Old Photos,Korea Advanced Institute of Science,36.3697191,127.36253700115094,,Daejeon,,South Korea
54,Zhengzhong Tu,Efficient user-generated video quality prediction,Regression or classification? new methods to evaluate no-reference picture and video quality models,Austin,30.2711286,-97.7436995,Travis County,Austin,Texas,United States
55,Wei Sun,A deep learning based no-reference quality assessment model for ugc videos,A comparative evaluation of temporal pooling methods for blind video quality assessment,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
56,Jelena Vlaović,Content dependent representation selection model for systems based on MPEG DASH,Content adaptive tiling method based on user access preference for streaming panoramic video,Asistent,45.0823089,25.3908339,Dâmbovița,,,Romania
57,Yongkai Huo,A viewport prediction framework for panoramic videos,Content adaptive tiling method based on user access preference for streaming panoramic video,University of Southampton,1.42991655,103.61217722346026,,Iskandar Puteri,Johor,Malaysia
58,Luka Murn,Lightweight Deep Exemplar Colorization via Semantic Attention-Guided Laplacian Pyramid,Pik-Fix: Restoring and Colorizing Old Photos,Nokia,51.2141598,4.4225738,Antwerp,Antwerp,Antwerp,Belgium
59,Jiangong Wang,Federated vehicular transformers and their federations: Privacy-preserving computing and cooperation for autonomous driving,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,Institute of Automation,54.1720834,12.0790983,,Rostock,Mecklenburg-Vorpommern,Germany
60,Yansong Tang (唐彦嵩),Hornet: Efficient high-order spatial interactions with recursive gated convolutions,MaxViT: Multi-axis Vision Transformer,Tsinghua University,40.002290450000004,116.3209629696906,,Haidian District,Beijing,China
61,Xin Xia,HYDRO-3D: Hybrid object detection and tracking for cooperative perception using 3D LiDAR,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,Los Angeles,34.0536909,-118.242766,Los Angeles County,Los Angeles,California,United States
62,Yu-Chih Chen,GAMIVAL: Video quality prediction on mobile cloud gaming content,Subjective quality assessment of user-generated content gaming videos,The University of Texas at Austin,30.27715345,-97.73440380486116,Travis County,Austin,Texas,United States
63,Qi Zheng,A completely blind video quality evaluator,Regression or classification? new methods to evaluate no-reference picture and video quality models,"Fudan University, Shanghai, China",31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
64,Annan Wang,Fast-vqa: Efficient end-to-end video quality assessment with fragment sampling,RAPIQUE: Rapid and accurate video quality prediction of user generated content,Researcher,41.6567749,41.6398829,,Batumi,Autonomous Republic of Adjara,Georgia
65,Li-Heng Chen,Learning to distort images using generative adversarial networks,BBAND Index: a No-Reference Banding Artifact Predictor,Netflix Inc.,34.0891581,-118.333448,Los Angeles County,Los Angeles,California,United States
66,Meng Zonglin,A systematic survey of control techniques and applications in connected and automated vehicles,V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,University of California,34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
67,Wenxiu Sun,Fast-vqa: Efficient end-to-end video quality assessment with fragment sampling,Efficient user-generated video quality prediction,The Hong Kong University of Science and Technology,22.3358031,114.2659087549023,,Sai Kung District,Hong Kong,China
68,Wenxiu Sun,Fast-vqa: Efficient end-to-end video quality assessment with fragment sampling,RAPIQUE: Rapid and accurate video quality prediction of user generated content,The Hong Kong University of Science and Technology,22.3358031,114.2659087549023,,Sai Kung District,Hong Kong,China
69,Ziying Song,Multi-modal 3d object detection in autonomous driving: A survey and taxonomy,CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,Beijing Jiaotong University,39.95044035,116.33606901092409,,Haidian District,Beijing,China
70,Avinab Saha,Re-iqa: Unsupervised learning for image quality assessment in the wild,RAPIQUE: Rapid and accurate video quality prediction of user generated content,The University of Texas at Austin,30.27715345,-97.73440380486116,Travis County,Austin,Texas,United States
71,Xiongkuo Min (闵雄阔),Deep learning based full-reference and no-reference quality assessment models for compressed ugc videos,A comparative evaluation of temporal pooling methods for blind video quality assessment,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
72,Liang Liao,Towards explainable in-the-wild video quality assessment: a database and a language-prompted approach,RAPIQUE: Rapid and accurate video quality prediction of user generated content,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
73,Avinab Saha,Perceptual video quality assessment: The journey continues!,FAVER: Blind Quality Prediction of Variable Frame Rate Videos,Austin,30.2711286,-97.7436995,Travis County,Austin,Texas,United States
74,Chris Choy,Voxformer: Sparse voxel transformer for camera-based 3d semantic scene completion,CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,NVIDIA,45.5344957,-122.886274,Washington County,Hillsboro,Oregon,United States
75,Guoxin Zhang,Multi-modal 3d object detection in autonomous driving: A survey and taxonomy,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,Hebei University of Science,39.205429800000005,118.58595604901612,,Tangshan,Hebei,China
76,Xin Xia,HYDRO-3D: Hybrid object detection and tracking for cooperative perception using 3D LiDAR,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,University of California,34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
77,Jiaqi Ma,HM-ViT: Hetero-modal vehicle-to-vehicle cooperative perception with vision transformer,V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,Los Angeles,34.0536909,-118.242766,Los Angeles County,Los Angeles,California,United States
78,Yanjun Huang 黄岩军,A systematic survey of control techniques and applications in connected and automated vehicles,CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,Tongji University,31.27369175,121.38566174235456,,Putuo District,Shanghai,China
79,Li-Heng Chen,Learned fractional downsampling network for adaptive video streaming,Adaptive debanding filter,Netflix Inc.,34.0891581,-118.333448,Los Angeles County,Los Angeles,California,United States
80,Kai Wen Hu, Supporting Immersive Video Streaming via V2X Communication,Content adaptive tiling method based on user access preference for streaming panoramic video,National Dong Hwa University,23.8973249,121.5425779705339,Hualien County,,,Taiwan
81,Xiongkuo Min (闵雄阔),A deep learning based no-reference quality assessment model for ugc videos,FAVER: Blind Quality Prediction of Variable Frame Rate Videos,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
82,Johan Bjorck,Image as a foreign language: Beit pretraining for vision and vision-language tasks,MaxViT: Multi-axis Vision Transformer,Cornell University,42.4529076,-76.48008423030923,Tompkins County,City of Ithaca,New York,United States
83,Tao Xiang,An end-to-end no-reference video quality assessment method with hierarchical spatiotemporal feature representation,Regression or classification? new methods to evaluate no-reference picture and video quality models,Chongqing University,29.5699826,106.4597701,,Shapingba District,Chongqing,China
84,Zhenqiang  Ying,Subjective and objective analysis of streamed gaming videos,Subjective quality assessment of user-generated content gaming videos,Inc.,38.321089,106.38857247478668,Lingwu City,Yinchuan City,Ningxia,China
85,Yixiang Mao,Progressive Frame Patching for FoV-based Point Cloud Video Streaming,Content adaptive tiling method based on user access preference for streaming panoramic video,Computer Engineering,40.80803455,29.356343258075448,,,,Turkey
86,Zixing Lei,Where2comm: Communication-efficient collaborative perception via spatial confidence maps,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
87,Zhengzhong Tu,UGC-VQA: Benchmarking blind video quality assessment for user generated content,BBAND Index: a No-Reference Banding Artifact Predictor,Texas A&M University,30.6108618,-96.35206061388457,Brazos County,College Station,Texas,United States
88,Antonio Ortega,Rate-distortion optimization with alternative references for UGC video compression,Efficient user-generated video quality prediction,Computer Engineering,40.80803455,29.356343258075448,,,,Turkey
89,Hangwei Chen,Progressive Bidirectional Feature Extraction and Enhancement Network for Quality Evaluation of Night-Time Images,Subjective quality assessment of user-generated content gaming videos,Ningbo University,29.9091815,121.63348631338262,,Jiangbei District,Zhejiang,China
90,Xing Wen,"Zoom-vqa: Patches, frames and clips integration for video quality assessment",A comparative evaluation of temporal pooling methods for blind video quality assessment,Apple Inc.,37.3326452,-122.02992302100607,Santa Clara County,Cupertino,California,United States
91,Chen Zhao,Federated vehicular transformers and their federations: Privacy-preserving computing and cooperation for autonomous driving,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,Institute of Automation,54.1720834,12.0790983,,Rostock,Mecklenburg-Vorpommern,Germany
92,Wenxiu Sun,Exploring the effectiveness of video perceptual representation in blind video quality assessment,A comparative evaluation of temporal pooling methods for blind video quality assessment,Technology,3.16129015,101.56813112882818,,Petaling Jaya,Selangor,Malaysia
93,Xiongkuo Min (闵雄阔),BH-VQA: Blind High Frame Rate Video Quality Assessment,FAVER: Blind Quality Prediction of Variable Frame Rate Videos,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
94,Qi Zheng,Faver: Blind quality prediction of variable frame rate videos,BBAND Index: a No-Reference Banding Artifact Predictor,Shanghai,31.2323437,121.4691024,,Shanghai,Shanghai,China
95,Alan Bovik,A completely blind video quality evaluator,Pik-Fix: Restoring and Colorizing Old Photos,Austin,30.2711286,-97.7436995,Travis County,Austin,Texas,United States
96,Ana Gavrovska,No-reference local image quality evaluation,Regression or classification? new methods to evaluate no-reference picture and video quality models,University of Belgrade,44.8179654,20.450776496755196,City of Belgrade,Belgrade,Central Serbia,Serbia
97,Zhi Li,Learning to distort images using generative adversarial networks,BBAND Index: a No-Reference Banding Artifact Predictor,Netflix Inc.,34.0891581,-118.333448,Los Angeles County,Los Angeles,California,United States
98,Yifan Lu,Collaboration helps camera overtake lidar in 3d detection,CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
99,Anh T. Pham,An optimal tile-based approach for viewport-adaptive 360-degree video streaming,Content adaptive tiling method based on user access preference for streaming panoramic video,University of Aizu,37.5236728,139.93807246412388,,Aizuwakamatsu,,Japan
100,Ligong Han,Svdiff: Compact parameter space for diffusion fine-tuning,MaxViT: Multi-axis Vision Transformer,Rutgers University,40.492977800000006,-74.44510808059266,Middlesex County,New Brunswick,New Jersey,United States
101,Yiming Li,Voxformer: Sparse voxel transformer for camera-based 3d semantic scene completion,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,NYU,40.729205300000004,-73.99501481290962,New York County,New York,New York,United States
102,Andrey Norkin,ProxIQA: A proxy approach to perceptual optimization of learned image compression,Adaptive debanding filter,"Netflix, Los Gatos, CA, USA",37.25962235,-121.96267900730679,Santa Clara County,,California,United States
103,Tian Meng,Blindly assess quality of in-the-wild videos via quality-aware pre-training and motion perception,RAPIQUE: Rapid and accurate video quality prediction of user generated content,Wuhan University,30.537354049999998,114.36152031917142,,Wuchang District,Hubei,China
104,Alison Noble,A kernel density estimation based quality metric for quality assessment of obstetric ultrasound video,Adaptive debanding filter,UK,6.3110548,20.5447525,,,Ouaka,Central African Republic
105,Xiongkuo Min (闵雄阔),A deep learning based no-reference quality assessment model for ugc videos,UGC-VQA: Benchmarking blind video quality assessment for user generated content,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
106,Wei Lu,MD-VQA: Multi-dimensional quality assessment for UGC live videos,UGC-VQA: Benchmarking blind video quality assessment for user generated content,Sun Yat-sen University,23.09960335,113.29235087324346,,Haizhu District,Guangdong Province,China
107,Min Hua,A systematic survey of control techniques and applications in connected and automated vehicles,CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,University of Birmingham,52.4522956,-1.9312856726008194,,Birmingham,England,United Kingdom
108,Yibo Fan,No-reference quality assessment of variable frame-rate videos using temporal bandpass statistics,Regression or classification? new methods to evaluate no-reference picture and video quality models,Fudan University,31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
109,Daniel Y Fu,Hyena hierarchy: Towards larger convolutional language models,MaxViT: Multi-axis Vision Transformer,Stanford University,37.431313849999995,-122.16936535498309,Santa Clara County,,California,United States
110,Chia-Ju  Chen,A comparative evaluation of temporal pooling methods for blind video quality assessment,BBAND Index: a No-Reference Banding Artifact Predictor,University of California,34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
111,Chaofeng Chen,Discovqa: Temporal distortion-content transformers for video quality assessment,Efficient user-generated video quality prediction,S-Lab,54.7391503,55.9709483,городской округ Уфа,Ufa,Bashkortostan,Russia
112,Li Wang,Multi-modal 3d object detection in autonomous driving: A survey and taxonomy,V2X-ViT: Vehicle-to-everything cooperative perception with vision transformer,Tsinghua University,40.002290450000004,116.3209629696906,,Haidian District,Beijing,China
113,Wenliang Zhao,Hornet: Efficient high-order spatial interactions with recursive gated convolutions,MaxViT: Multi-axis Vision Transformer,Tsinghua University,40.002290450000004,116.3209629696906,,Haidian District,Beijing,China
114,Zhengzhong Tu,Efficient user-generated video quality prediction,Regression or classification? new methods to evaluate no-reference picture and video quality models,Texas A&M University,30.6108618,-96.35206061388457,Brazos County,College Station,Texas,United States
115,Zhengzhong Tu,V2x-vit: Vehicle-to-everything cooperative perception with vision transformer,MaxViT: Multi-axis Vision Transformer,Texas A&M University,30.6108618,-96.35206061388457,Brazos County,College Station,Texas,United States
116,Xin Xia,V2x-vit: Vehicle-to-everything cooperative perception with vision transformer,MAXIM: Multi-Axis MLP for Image Processing,Los Angeles,34.0536909,-118.242766,Los Angeles County,Los Angeles,California,United States
117,Chia-Ju  Chen,A comparative evaluation of temporal pooling methods for blind video quality assessment,BBAND Index: a No-Reference Banding Artifact Predictor,"University of California, Los Angeles",34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
118,Walter Zimmer,Tumtraf v2x cooperative perception dataset,V2V4Real: A real-world large-scale dataset for vehicle-to-vehicle cooperative perception,Technical University of Munich (TUM),48.2655696,11.669345610437997,Landkreis München,,Bavaria,Germany
119,Guangtao Zhai,A deep learning based no-reference quality assessment model for ugc videos,UGC-VQA: Benchmarking blind video quality assessment for user generated content,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
120,Wei Sun,Analysis of video quality datasets via design of minimalistic video quality models,Subjective quality assessment of user-generated content gaming videos,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
121,Rafal K. Mantiuk,Robust estimation of exposure ratios in multi-exposure image stacks,BBAND Index: a No-Reference Banding Artifact Predictor,University of Cambridge,52.210945550000005,0.09200497637871279,Cambridgeshire,Cambridge,England,United Kingdom
122,Erli Zhang,Towards explainable in-the-wild video quality assessment: a database and a language-prompted approach,RAPIQUE: Rapid and accurate video quality prediction of user generated content,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
123,Chaofeng Chen,Fast-vqa: Efficient end-to-end video quality assessment with fragment sampling,Efficient user-generated video quality prediction,S-Lab,54.7391503,55.9709483,городской округ Уфа,Ufa,Bashkortostan,Russia
124,Wen Wang,Eva: Exploring the limits of masked visual representation learning at scale,MaxViT: Multi-axis Vision Transformer,Zhejiang University,30.521595,120.7195312,,Haining,Zhejiang,China
125,Xin Xia,V2x-vit: Vehicle-to-everything cooperative perception with vision transformer,CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,University of California,34.070877749999994,-118.44685070595054,Los Angeles County,Los Angeles,California,United States
126,Wei Sun,Deep learning based full-reference and no-reference quality assessment models for compressed ugc videos,A comparative evaluation of temporal pooling methods for blind video quality assessment,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
127,Jingwen Hou,Fast-vqa: Efficient end-to-end video quality assessment with fragment sampling,Efficient user-generated video quality prediction,Nanyang Technological University,1.3484104000000001,103.68293320728537,,Singapore,,Singapore
128,Congyan Lang,"Collaborative perception in autonomous driving: Methods, datasets, and challenges",CoBEVT: Cooperative Bird's Eye View Semantic Segmentation with Sparse Transformers,Beijing Jiaotong University,39.95044035,116.33606901092409,,Haidian District,Beijing,China
129,Dr Nabajeet Barman,AIS 2024 challenge on video quality assessment of user-generated content: Methods and results,RAPIQUE: Rapid and accurate video quality prediction of user generated content,London,51.4893335,-0.14405508452768728,,London,England,United Kingdom
130,Zicheng Zhang,MD-VQA: Multi-dimensional quality assessment for UGC live videos,UGC-VQA: Benchmarking blind video quality assessment for user generated content,UTHealth,29.71215455,-95.3745266544489,Harris County,Houston,Texas,United States
